Acronym,Name,Family,Subfamily,Genus,Host,all_NT_ACC,RdRp_NT_ACC,RdRp_PID,all_PID
GCRV,Grass_carp_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,KU254566&KU254567&KU254568&KU254569&KU254570&KU254571&KU254572&KU254573&KU254574&KU254575&KU254576,KU254567,AND67142.1,AND67141&AND67142&AND67143&AND67144&AND67145&AND67146&AND67147&AND67148&AND67149&AND67150&AND67151
GIV,Great_Island_virus,Reoviridae,Sedoreovirinae,Orbivirus,Tick_arbovirus_Vertebrates,NC_014522.1&NC_014531.1&NC_014523.1&NC_014524.1&NC_014525.1&NC_014526.1&NC_014527.1&NC_014528.1&NC_014529.1&NC_014530.1,NC_014522,YP_003896058.1,YP_003896058&YP_003896068&YP_003896059&YP_003896060&YP_003896061&YP_003896062&YP_003896063&YP_003896064&YP_003896065&YP_003896066&YP_003896067
IiCPV-2,Inachis_io_cypovirus_2,Reoviridae,Spinareovirinae,Cypovirus,Butterfly,NC_023491.1&NC_023495.1&NC_023486.1&NC_023492.1&NC_023487.1&NC_023488.1&NC_023493.1&NC_023489.1&NC_023494.1&NC_023490.1,NC_023491,YP_009002592.1,YP_009002592&YP_009002596&YP_009002587&YP_009002593&YP_009002588&YP_009002589&YP_009002594&YP_009002590&YP_009002595&YP_009002591
KDV,Kadipiro_virus,Reoviridae,Sedoreovirinae,Seadornavirus,Mosquito_arbovirus_Humans,NC_004210.1&NC_004206.1&NC_004205.1&NC_004199.1&NC_004212.1&NC_004213.1&NC_004214.1&NC_004215.1&NC_004216.1&NC_004209.1&NC_004208.1&NC_004207.1,NC_004210,NP_694468.1,NP_694468&NP_694464&NP_694463&NP_694457&NP_694470&NP_694471&NP_694472&NP_694473&NP_694474&NP_694467&NP_694466&NP_694465
LEBV,Lebombo_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Vertebrates,JQ610665&JQ610666&JQ610667&JQ610668&JQ610669&JQ610670&JQ610671&JQ610672&JQ610673&JQ610674,JQ610665,AFX73376.1,AFX73376&AFX73377&AFX73378&AFX73379&AFX73380&AFX73381&AFX73382&AFX73383&AFX73384&AFX73385&AFX73386
LNV,Liao_ning_virus,Reoviridae,Sedoreovirinae,Seadornavirus,Mosquito_arbovirus,NC_007736.1&NC_007745.1&NC_007746.1&NC_007747.1&NC_007737.1&NC_007738.1&NC_007739.1&NC_007740.1&NC_007741.1&NC_007742.1&NC_007743.1&NC_007744.1,NC_007736,YP_460026.1,YP_460026&YP_460035&YP_460036&YP_460037&YP_460027&YP_460028&YP_460029&YP_460030&YP_460031&YP_460032&YP_460033&YP_460034
LdCPV-14,Lymantria_dispar_cypovirus_14,Reoviridae,Spinareovirinae,Cypovirus,Moth,AF389452&AF389453&AF389454&AF389455&AF389456&AF389457&AF389458&AF389459&AF389460&AF389461,AF389452,AAK73087.1,AAK73087&AAK73088&AAK73089&AAK73090&AAK73091&AAK73092&AAK73093&AAK73094&AAK73095&AAK73097&AAK73096
MRDV,Maize_rough_dwarf_virus,Reoviridae,Spinareovirinae,Fijivirus,Maize,KU984966&KU984967&KU984968&KU984969&KU984970&KU984971&KU984972&KU984973&KU984974&KU984975,KU984966,ANG56321.1,ANG56321&ANG56322&ANG56323&ANG56324&ANG56325&ANG56326&ANG56327&ANG56328&ANG56329&ANG56330&ANG56331&ANG56332&ANG56333
MRCV,Mal_de_Rio_Cuarto_virus,Reoviridae,Spinareovirinae,Fijivirus,Maize,NC_008733.1&NC_008734.1&NC_008730.1&NC_008732.1&NC_008729.1&NC_008735.1&NC_008731.1&NC_008736.1&NC_008728.1&NC_008737.1,NC_008733,YP_956848.1,YP_956848&YP_956849&YP_956845&YP_956847&YP_956844&YP_956850&YP_956846&YP_956851&YP_956852&YP_956843&YP_956853&YP_956854
MRV,Mammalian_orthoreovirus_T3,Reoviridae,Spinareovirinae,Orthoreovirus,Mammal,JQ412755&JQ412756&JQ412757&JQ412758&JQ412759&JQ412760&JQ412761&JQ412762&JQ412763&JQ412764,JQ412755,AFN01893.1,AFN01893&AFN01894&AFN01895&AFN01896&AFN01897&AFN01898&AFN01899&AFN01900&AFN01901&AFN01902&AFN01903
